matchup_name,total_games,a_wins,b_wins,draws,a_wins_as_p1,a_wins_as_p2,b_wins_as_p1,b_wins_as_p2,draws_p1_was_a,draws_p1_was_b,a_winrate,b_winrate,draw_rate,wallclock_s,config_a,config_b
c_2.0_vs_3.0,100,52,48,0,43,9,41,7,0,0,0.52,0.48,0.0,0.0,"{""exploration_weight"": 2.0, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 3.0, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
c_3.0_vs_4.0,100,59,41,0,45,14,36,5,0,0,0.59,0.41,0.0,0.0,"{""exploration_weight"": 3.0, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 4.0, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
c_4.0_vs_5.0,100,50,50,0,41,9,41,9,0,0,0.5,0.5,0.0,0.0,"{""exploration_weight"": 4.0, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 5.0, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
