matchup_name,total_games,a_wins,b_wins,draws,a_wins_as_p1,a_wins_as_p2,b_wins_as_p1,b_wins_as_p2,draws_p1_was_a,draws_p1_was_b,a_winrate,b_winrate,draw_rate,wallclock_s,config_a,config_b
ucb1_optimal_vs_baseline,100,66,34,0,47,19,31,3,0,0,0.66,0.34,0.0,0.0,"{""exploration_weight"": 2.0, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 1.4142135624, ""iterations"": 5000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
ucb1_tuned_optimal_vs_baseline,100,70,30,0,41,29,21,9,0,0,0.7,0.3,0.0,0.0,"{""exploration_weight"": 2.0, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1_tuned""}","{""exploration_weight"": 1.4142135624, ""iterations"": 5000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
