matchup_name,total_games,a_wins,b_wins,draws,a_wins_as_p1,a_wins_as_p2,b_wins_as_p1,b_wins_as_p2,draws_p1_was_a,draws_p1_was_b,a_winrate,b_winrate,draw_rate,wallclock_s,config_a,config_b
k_1_vs_3,100,57,43,0,39,18,32,11,0,0,0.57,0.43,0.0,0.0,"{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 3, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
k_3_vs_7,100,52,48,0,46,6,44,4,0,0,0.52,0.48,0.0,0.0,"{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 3, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 7, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
k_7_vs_10,100,59,41,0,47,12,38,3,0,0,0.59,0.41,0.0,0.0,"{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 7, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 10, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
k_10_vs_14,100,50,50,0,45,5,45,5,0,0,0.5,0.5,0.0,0.0,"{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 10, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 14, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
