matchup_name,total_games,a_wins,b_wins,draws,a_wins_as_p1,a_wins_as_p2,b_wins_as_p1,b_wins_as_p2,draws_p1_was_a,draws_p1_was_b,a_winrate,b_winrate,draw_rate,wallclock_s,config_a,config_b
iter_200_vs_1000,100,25,75,0,22,3,47,28,0,0,0.25,0.75,0.0,0.0,"{""exploration_weight"": 1.4142135624, ""iterations"": 200, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 1.4142135624, ""iterations"": 1000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
iter_1000_vs_5000,100,23,77,0,17,6,44,33,0,0,0.23,0.77,0.0,0.0,"{""exploration_weight"": 1.4142135624, ""iterations"": 1000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 1.4142135624, ""iterations"": 5000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
iter_5000_vs_20000,100,34,66,0,29,5,45,21,0,0,0.34,0.66,0.0,0.0,"{""exploration_weight"": 1.4142135624, ""iterations"": 5000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
iter_20000_vs_100000,100,40,60,0,40,0,50,10,0,0,0.4,0.6,0.0,0.0,"{""exploration_weight"": 1.4142135624, ""iterations"": 20000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}","{""exploration_weight"": 1.4142135624, ""iterations"": 100000, ""num_children_to_expand"": 1, ""rollout_depth_limit"": 80, ""uct_variant"": ""ucb1""}"
