dataset,cap,max_depth,min_samples,train_size,val_size,val_accuracy,val_macro_f1,pop_recall,n_nodes,n_leaves,train_time_s
baseline,10000,15,20,100348,11149,0.421832,0.417216,0.541691,15834,10249,198.016
baseline,30000,15,20,254928,28323,0.482046,0.482687,0.579979,39704,25530,386.109
baseline,50000,15,20,356994,39663,0.477347,0.487081,0.543487,55834,35777,617.719
baseline,100000,15,20,596804,66308,0.492746,0.487102,0.473436,91996,58646,1069.172
baseline,200000,15,20,956804,106308,0.521833,0.483798,0.425424,144827,91893,1384.531
baseline,None,15,20,1379168,153235,0.563859,0.463453,0.375260,197659,124926,1868.875
