dataset,cap,max_depth,min_samples,train_size,val_size,val_accuracy,val_macro_f1,pop_recall,n_nodes,n_leaves,train_time_s
optimised,10000,15,20,97833,10869,0.442727,0.439578,0.542437,15333,9949,192.594
optimised,30000,15,20,233473,25937,0.477349,0.477498,0.531832,36180,23357,358.157
optimised,50000,15,20,334273,37137,0.487438,0.482643,0.484511,51817,33292,559.406
optimised,100000,15,20,546839,60755,0.518937,0.485526,0.422561,83367,53289,1018.656
optimised,200000,15,20,837256,93023,0.548391,0.464893,0.367141,123629,78512,1261.563
optimised,None,15,20,1054574,117168,0.589606,0.456917,0.340538,148079,94014,1416.968
